Source,Target,Weight,Type
"Liliencron, Detlev von","Wien",5,Directed
"Liliencron, Detlev von","Hamburg",3,Directed
"Liliencron, Detlev von","Palmaille",2,Directed
"Liliencron, Detlev von","Altona",2,Directed
"Liliencron, Detlev von","IX., Alsergrund",2,Directed
"Liliencron, Detlev von","Frankgasse 1",1,Directed
"Liliencron, Detlev von","XVIII., Währing",1,Directed
"Liliencron, Detlev von","Edmund-Weiß-Gasse 7",1,Directed
"Liliencron, Detlev von","Schloss Schönbrunn",1,Directed
"Liliencron, Detlev von","Saal des Niederösterreichischen Gewerbevereins",1,Directed
