Source,Target,Weight,Type
"Hofmannsthal, Hugo von","Wien",593,Directed
"Hofmannsthal, Hugo von","Rodaun",128,Directed
"Hofmannsthal, Hugo von","Edmund-Weiß-Gasse 7",72,Directed
"Hofmannsthal, Hugo von","Berlin",62,Directed
"Hofmannsthal, Hugo von","XVIII., Währing",55,Directed
"Hofmannsthal, Hugo von","Frankgasse 1",52,Directed
"Hofmannsthal, Hugo von","Salzburg",49,Directed
"Hofmannsthal, Hugo von","Bad Ischl",46,Directed
"Hofmannsthal, Hugo von","Bad Aussee",45,Directed
"Hofmannsthal, Hugo von","IX., Alsergrund",44,Directed
"Hofmannsthal, Hugo von","Sternwartestraße 71",42,Directed
"Hofmannsthal, Hugo von","Bad Fusch",29,Directed
"Hofmannsthal, Hugo von","Semmering",29,Directed
"Hofmannsthal, Hugo von","München",29,Directed
"Hofmannsthal, Hugo von","Österreich",28,Directed
"Hofmannsthal, Hugo von","I., Innere Stadt",24,Directed
"Hofmannsthal, Hugo von","III., Landstraße",23,Directed
"Hofmannsthal, Hugo von","Venedig",19,Directed
"Hofmannsthal, Hugo von","Hinterbrühl",17,Directed
"Hofmannsthal, Hugo von","Altaussee",16,Directed
"Hofmannsthal, Hugo von","Paris",16,Directed
"Hofmannsthal, Hugo von","St. Gilgen",14,Directed
"Hofmannsthal, Hugo von","Strobl",13,Directed
"Hofmannsthal, Hugo von","Innsbruck",12,Directed
"Hofmannsthal, Hugo von","Italien",12,Directed
"Hofmannsthal, Hugo von","XIII., Hietzing",12,Directed
"Hofmannsthal, Hugo von","Badgasse",11,Directed
"Hofmannsthal, Hugo von","Kärntnerring 12/Bösendorferstraße 11",10,Directed
"Hofmannsthal, Hugo von","Burgtheater",10,Directed
"Hofmannsthal, Hugo von","Graz",10,Directed
