Source,Target,Weight,Type
"Hofmannsthal, Hugo von","Wien",559,Directed
"Hofmannsthal, Hugo von","Rodaun",126,Directed
"Hofmannsthal, Hugo von","Edmund-Weiß-Gasse 7",70,Directed
"Hofmannsthal, Hugo von","Berlin",59,Directed
"Hofmannsthal, Hugo von","Frankgasse 1",51,Directed
"Hofmannsthal, Hugo von","XVIII., Währing",51,Directed
"Hofmannsthal, Hugo von","Salzburg",48,Directed
"Hofmannsthal, Hugo von","Bad Ischl",46,Directed
"Hofmannsthal, Hugo von","IX., Alsergrund",44,Directed
"Hofmannsthal, Hugo von","Bad Aussee",37,Directed
"Hofmannsthal, Hugo von","Sternwartestraße 71",37,Directed
"Hofmannsthal, Hugo von","Semmering",29,Directed
"Hofmannsthal, Hugo von","München",28,Directed
"Hofmannsthal, Hugo von","Bad Fusch",27,Directed
"Hofmannsthal, Hugo von","Österreich",27,Directed
"Hofmannsthal, Hugo von","III., Landstraße",23,Directed
"Hofmannsthal, Hugo von","I., Innere Stadt",22,Directed
"Hofmannsthal, Hugo von","Venedig",19,Directed
"Hofmannsthal, Hugo von","Hinterbrühl",16,Directed
"Hofmannsthal, Hugo von","Altaussee",16,Directed
"Hofmannsthal, Hugo von","Paris",16,Directed
"Hofmannsthal, Hugo von","St. Gilgen",14,Directed
"Hofmannsthal, Hugo von","Strobl",13,Directed
"Hofmannsthal, Hugo von","Innsbruck",12,Directed
"Hofmannsthal, Hugo von","Italien",12,Directed
"Hofmannsthal, Hugo von","XIII., Hietzing",12,Directed
"Hofmannsthal, Hugo von","Kärntnerring 12/Bösendorferstraße 11",10,Directed
"Hofmannsthal, Hugo von","Burgtheater",10,Directed
"Hofmannsthal, Hugo von","Graz",10,Directed
"Hofmannsthal, Hugo von","Tschortkiw",10,Directed
