year,"erhaltene Korrespondenzstücke","Erwähnungen im Tagebuch"
1885,0,
1886,0,
1887,0,
1888,0,0
1889,0,0
1890,0,0
1891,14,18
1892,39,44
1893,32,39
1894,16,61
1895,14,38
1896,17,36
1897,36,49
1898,43,43
1899,45,36
1900,19,17
1901,16,11
1902,23,43
1903,29,29
1904,55,40
1905,20,35
1906,21,27
1907,25,34
1908,14,33
1909,12,21
1910,22,33
1911,12,18
1912,15,13
1913,2,12
1914,7,18
1915,3,18
1916,4,22
1917,4,9
1918,3,19
1919,5,20
1920,9,14
1921,1,8
1922,1,19
1923,4,11
1924,6,21
1925,8,15
1926,2,6
1927,4,10
1928,4,13
1929,3,31
1930,0,12
1931,0,6
