Source,Target,Weight,Type
"Beer-Hofmann, Richard","Hugo von Hofmannsthal",133,Directed
"Beer-Hofmann, Richard","Paula Beer-Hofmann",114,Directed
"Beer-Hofmann, Richard","Olga Schnitzler",75,Directed
"Beer-Hofmann, Richard","Paul Goldmann",72,Directed
"Beer-Hofmann, Richard","Felix Salten",59,Directed
"Beer-Hofmann, Richard","Mirjam Beer-Hofmann",51,Directed
"Beer-Hofmann, Richard","Gustav Schwarzkopf",47,Directed
"Beer-Hofmann, Richard","Hermann Bahr",38,Directed
"Beer-Hofmann, Richard","Naëmah Beer-Hofmann",38,Directed
"Beer-Hofmann, Richard","Gabriel Beer-Hofmann",31,Directed
"Beer-Hofmann, Richard","Heinrich Schnitzler",25,Directed
"Beer-Hofmann, Richard","Louise Schnitzler",23,Directed
"Beer-Hofmann, Richard","Leo Van-Jung",19,Directed
"Beer-Hofmann, Richard","Otto Brahm",19,Directed
"Beer-Hofmann, Richard","Max Reinhardt",15,Directed
"Beer-Hofmann, Richard","Arthur Kaufmann",15,Directed
"Beer-Hofmann, Richard","Lili Cappellini",15,Directed
"Beer-Hofmann, Richard","Georg Hirschfeld",14,Directed
"Beer-Hofmann, Richard","Friedrich Michael Fels",13,Directed
"Beer-Hofmann, Richard","Johann Schnitzler",12,Directed
"Beer-Hofmann, Richard","Hermann Beer",12,Directed
"Beer-Hofmann, Richard","Adele Sandrock",12,Directed
"Beer-Hofmann, Richard","Max Eugen Burckhard",12,Directed
"Beer-Hofmann, Richard","Alfred Kerr",12,Directed
"Beer-Hofmann, Richard","Elisabeth Steinrück",12,Directed
"Beer-Hofmann, Richard","Paul Horn",11,Directed
"Beer-Hofmann, Richard","Lou Andreas-Salomé",11,Directed
"Beer-Hofmann, Richard","Samuel Fischer",11,Directed
"Beer-Hofmann, Richard","Bertha Flegmann",10,Directed
"Beer-Hofmann, Richard","Josef Jarno",10,Directed
