Source,CorrID,Target,PersID,Overallcount,Type,Label,Weight
"Georg Brandes","10992","Richard Beer-Hofmann","10863","356","Directed","Georg Brandes–Richard Beer-Hofmann","28"
"Georg Brandes","10992","Olga Schnitzler","2173","459","Directed","Georg Brandes–Olga Schnitzler","22"
"Georg Brandes","10992","Johann Wolfgang von Goethe","11461","44","Directed","Georg Brandes–Johann Wolfgang von Goethe","12"
"Georg Brandes","10992","Heinrich Schnitzler","12692","114","Directed","Georg Brandes–Heinrich Schnitzler","12"
"Georg Brandes","10992","Paul Goldmann","11485","157","Directed","Georg Brandes–Paul Goldmann","10"
"Georg Brandes","10992","Lili Cappellini","2238","39","Directed","Georg Brandes–Lili Cappellini","8"
"Georg Brandes","10992","Peter Nansen","2357","19","Directed","Georg Brandes–Peter Nansen","8"
"Georg Brandes","10992","Gaius Iulius Caesar","14796","9","Directed","Georg Brandes–Gaius Iulius Caesar","8"
"Georg Brandes","10992","William Shakespeare","2412","19","Directed","Georg Brandes–William Shakespeare","7"
"Georg Brandes","10992","Louise Schnitzler","12701","76","Directed","Georg Brandes–Louise Schnitzler","6"
"Georg Brandes","10992","Voltaire","3124","6","Directed","Georg Brandes–Voltaire","5"
"Georg Brandes","10992","Reinhold Philipp","4394","5","Directed","Georg Brandes–Reinhold Philipp","5"
"Georg Brandes","10992","Gertrud Rung","5558","5","Directed","Georg Brandes–Gertrud Rung","5"
"Georg Brandes","10992","Hugo von Hofmannsthal","11740","271","Directed","Georg Brandes–Hugo von Hofmannsthal","5"
"Georg Brandes","10992","Jakob Wassermann","13055","42","Directed","Georg Brandes–Jakob Wassermann","5"
"Georg Brandes","10992","Emilie Brandes","29102","4","Directed","Georg Brandes–Emilie Brandes","4"
"Georg Brandes","10992","André Antoine","2211","15","Directed","Georg Brandes–André Antoine","3"
"Georg Brandes","10992","Mirjam Beer-Hofmann","2668","24","Directed","Georg Brandes–Mirjam Beer-Hofmann","3"
"Georg Brandes","10992","Edith Philipp","4395","4","Directed","Georg Brandes–Edith Philipp","3"
"Georg Brandes","10992","Jeanne Marni","5459","6","Directed","Georg Brandes–Jeanne Marni","3"
"Georg Brandes","10992","Paula Beer-Hofmann","10860","121","Directed","Georg Brandes–Paula Beer-Hofmann","3"
"Georg Brandes","10992","Henrik Ibsen","11798","10","Directed","Georg Brandes–Henrik Ibsen","3"
"Georg Brandes","10992","Grete Prozor","29117","3","Directed","Georg Brandes–Grete Prozor","3"
"Georg Brandes","10992","Gerda Philipp","29131","3","Directed","Georg Brandes–Gerda Philipp","3"
"Georg Brandes","10992","Georg Philipp","29133","3","Directed","Georg Brandes–Georg Philipp","3"
"Georg Brandes","10992","Gabriele D’Annunzio","2142","8","Directed","Georg Brandes–Gabriele D’Annunzio","2"
"Georg Brandes","10992","Felix Salten","2167","130","Directed","Georg Brandes–Felix Salten","2"
"Georg Brandes","10992","Naëmah Beer-Hofmann","2534","6","Directed","Georg Brandes–Naëmah Beer-Hofmann","2"
"Georg Brandes","10992","Giacomo Girolamo Casanova","3145","4","Directed","Georg Brandes–Giacomo Girolamo Casanova","2"
"Georg Brandes","10992","Paul Bourget","4026","3","Directed","Georg Brandes–Paul Bourget","2"
"Georg Brandes","10992","Anatole France","4279","3","Directed","Georg Brandes–Anatole France","2"
"Georg Brandes","10992","Napoleon Bonaparte","4769","5","Directed","Georg Brandes–Napoleon Bonaparte","2"
"Georg Brandes","10992","Karl Larsen","5431","2","Directed","Georg Brandes–Karl Larsen","2"
"Georg Brandes","10992","Karl Lanckoroński","5435","2","Directed","Georg Brandes–Karl Lanckoroński","2"
"Georg Brandes","10992","Jesus","5539","5","Directed","Georg Brandes–Jesus","2"
"Georg Brandes","10992","Erich Reiss","5585","3","Directed","Georg Brandes–Erich Reiss","2"
"Georg Brandes","10992","Otto Brahm","10986","112","Directed","Georg Brandes–Otto Brahm","2"
"Georg Brandes","10992","Ludwig Fulda","11391","15","Directed","Georg Brandes–Ludwig Fulda","2"
"Georg Brandes","10992","Theodor Gomperz","11497","2","Directed","Georg Brandes–Theodor Gomperz","2"
"Georg Brandes","10992","?? [Schwede, mit dem Arthur Schnitzler über den Nobelpreis spricht]","27748","2","Directed","Georg Brandes–?? [Schwede, mit dem Arthur Schnitzler über den Nobelpreis spricht]","2"
"Georg Brandes","10992","Émile Soutif","29105","2","Directed","Georg Brandes–Émile Soutif","2"
"Georg Brandes","10992","Peter Altenberg","2147","36","Directed","Georg Brandes–Peter Altenberg","1"
"Georg Brandes","10992","Markus Hajek","2284","14","Directed","Georg Brandes–Markus Hajek","1"
"Georg Brandes","10992","Agnes Sorma","2299","12","Directed","Georg Brandes–Agnes Sorma","1"
"Georg Brandes","10992","Berta Zuckerkandl","2312","7","Directed","Georg Brandes–Berta Zuckerkandl","1"
