Source,Target,Weight,Type
"Zweig, Stefan","Olga Schnitzler",40,Directed
"Zweig, Stefan","Romain Rolland",17,Directed
"Zweig, Stefan","Eduard Bacher",13,Directed
"Zweig, Stefan","Moriz Benedikt",13,Directed
"Zweig, Stefan","Ernst Benedikt",13,Directed
"Zweig, Stefan","Jakob Wassermann",10,Directed
"Zweig, Stefan","Samuel Fischer",8,Directed
"Zweig, Stefan","Heinrich Schnitzler",7,Directed
"Zweig, Stefan","Gerhart Hauptmann",7,Directed
"Zweig, Stefan","Berta Zuckerkandl",7,Directed
"Zweig, Stefan","Lili Cappellini",6,Directed
"Zweig, Stefan","Friderike Maria Zweig",6,Directed
"Zweig, Stefan","Paul Morisse",5,Directed
"Zweig, Stefan","Hermann Bahr",5,Directed
"Zweig, Stefan","Richard Rosenbaum",5,Directed
"Zweig, Stefan","Paul Seippel",5,Directed
"Zweig, Stefan","Raoul Auernheimer",4,Directed
"Zweig, Stefan","Johann Wolfgang von Goethe",4,Directed
"Zweig, Stefan","Hugo von Hofmannsthal",4,Directed
"Zweig, Stefan","Franz Werfel",4,Directed
"Zweig, Stefan","P. S. Bernštejn",4,Directed
"Zweig, Stefan","Émile Verhaeren",3,Directed
"Zweig, Stefan","Maurice Maeterlinck",3,Directed
"Zweig, Stefan","?? [Journalist, der fiktives russisches Interview verantwortet]",3,Directed
"Zweig, Stefan","Jakob von Winternitz",3,Directed
"Zweig, Stefan","Lew Nikolajewitsch Tolstoi",3,Directed
"Zweig, Stefan","Marceline Desbordes-Valmore",3,Directed
"Zweig, Stefan","Gisela Etzel",3,Directed
"Zweig, Stefan","Clara Katharina Pollaczek",3,Directed
"Zweig, Stefan","Hans Steinhoff",3,Directed
