Source,Target,Weight,Type
"Sternheim, Carl","Herbert Eulenberg",2,Directed
"Sternheim, Carl","Frank Wedekind",2,Directed
"Sternheim, Carl","Otto Borngräber",2,Directed
"Sternheim, Carl","Hermann Bahr",1,Directed
"Sternheim, Carl","Franz Blei",1,Directed
"Sternheim, Carl","Richard Dehmel",1,Directed
"Sternheim, Carl","Gerhart Hauptmann",1,Directed
"Sternheim, Carl","Hugo von Hofmannsthal",1,Directed
"Sternheim, Carl","Heinrich Mann",1,Directed
"Sternheim, Carl","Thomas Mann",1,Directed
"Sternheim, Carl","Karl Gustav Vollmoeller",1,Directed
"Sternheim, Carl","Max Dauthendey",1,Directed
"Sternheim, Carl","Wilhelm Schmidtbonn",1,Directed
