Source,CorrID,Target,InstID,Overallcount,Type,Label,Weight
"Marie Herzfeld","11666","Franz-Grillparzer-Preis","29677","14","Directed","Marie Herzfeld–Franz-Grillparzer-Preis","1"
"Marie Herzfeld","11666","Société des Auteurs et Compositeurs Dramatiques","29397","3","Directed","Marie Herzfeld–Société des Auteurs et Compositeurs Dramatiques","1"
"Auguste Hauschner","2524","Der Tag","29650","3","Directed","Auguste Hauschner–Der Tag","1"
"Karin Michaëlis","4408","K. u. k. Zensurstelle","29545","3","Directed","Karin Michaëlis–K. u. k. Zensurstelle","1"
"Ludwig Ganghofer","11402","Burgtheater","36247","62","Directed","Ludwig Ganghofer–Burgtheater","1"
"Robert Adam","12438","S. Fischer Verlag","29639","76","Directed","Robert Adam–S. Fischer Verlag","5"
"Robert Adam","12438","Burgtheater","36247","62","Directed","Robert Adam–Burgtheater","1"
"Robert Adam","12438","Nationaltheater München","44112","7","Directed","Robert Adam–Nationaltheater München","3"
"Robert Adam","12438","Nobelpreis","29679","6","Directed","Robert Adam–Nobelpreis","1"
"Robert Adam","12438","Ullstein Verlag","29681","5","Directed","Robert Adam–Ullstein Verlag","1"
"Robert Adam","12438","Der Merker","29560","4","Directed","Robert Adam–Der Merker","2"
"Robert Adam","12438","Deutschösterreichischer Autorenverband","29594","4","Directed","Robert Adam–Deutschösterreichischer Autorenverband","3"
"Robert Adam","12438","Bezirksgericht Wien Josefstadt","29605","3","Directed","Robert Adam–Bezirksgericht Wien Josefstadt","2"
"Robert Adam","12438","Die Schaubühne / Die Weltbühne","29348","2","Directed","Robert Adam–Die Schaubühne / Die Weltbühne","1"
"Peter Altenberg","2147","S. Fischer Verlag","29639","76","Directed","Peter Altenberg–S. Fischer Verlag","1"
"Hermann Bahr","10815","S. Fischer Verlag","29639","76","Directed","Hermann Bahr–S. Fischer Verlag","16"
"Hermann Bahr","10815","Neue Freie Presse","29351","72","Directed","Hermann Bahr–Neue Freie Presse","2"
"Hermann Bahr","10815","Die Zeit. Wiener Wochenschrift","29209","67","Directed","Hermann Bahr–Die Zeit. Wiener Wochenschrift","39"
"Hermann Bahr","10815","Burgtheater","36247","62","Directed","Hermann Bahr–Burgtheater","3"
"Hermann Bahr","10815","Lessing-Theater","35053","25","Directed","Hermann Bahr–Lessing-Theater","1"
"Hermann Bahr","10815","Neues Wiener Tagblatt","29414","15","Directed","Hermann Bahr–Neues Wiener Tagblatt","13"
"Hermann Bahr","10815","Wiener Verlag","29636","14","Directed","Hermann Bahr–Wiener Verlag","3"
"Hermann Bahr","10815","Franz-Grillparzer-Preis","29677","14","Directed","Hermann Bahr–Franz-Grillparzer-Preis","3"
"Hermann Bahr","10815","Berliner Tageblatt","29329","13","Directed","Hermann Bahr–Berliner Tageblatt","2"
"Hermann Bahr","10815","Deutsche Zeitung","29424","11","Directed","Hermann Bahr–Deutsche Zeitung","4"
"Hermann Bahr","10815","Jung-Wiener Theater zum Lieben Augustin","143199","11","Directed","Hermann Bahr–Jung-Wiener Theater zum Lieben Augustin","1"
"Hermann Bahr","10815","Vossische Zeitung","29331","9","Directed","Hermann Bahr–Vossische Zeitung","1"
"Hermann Bahr","10815","Concordia","29752","9","Directed","Hermann Bahr–Concordia","1"
"Hermann Bahr","10815","Berliner Börsen-Courier","29406","7","Directed","Hermann Bahr–Berliner Börsen-Courier","1"
"Hermann Bahr","10815","Südbahnstrecke","41943","7","Directed","Hermann Bahr–Südbahnstrecke","1"
"Hermann Bahr","10815","Nationaltheater München","44112","7","Directed","Hermann Bahr–Nationaltheater München","2"
"Hermann Bahr","10815","Bibliographisches Bureau","29716","6","Directed","Hermann Bahr–Bibliographisches Bureau","1"
"Hermann Bahr","10815","Berliner Neueste Nachrichten","29207","5","Directed","Hermann Bahr–Berliner Neueste Nachrichten","1"
"Hermann Bahr","10815","Bauernfeld-Preis","29675","4","Directed","Hermann Bahr–Bauernfeld-Preis","2"
"Hermann Bahr","10815","E. Pierson’s Verlag","29771","4","Directed","Hermann Bahr–E. Pierson’s Verlag","1"
"Hermann Bahr","10815","Neues Wiener Journal","29320","3","Directed","Hermann Bahr–Neues Wiener Journal","2"
"Hermann Bahr","10815","Freie Bühne","29561","3","Directed","Hermann Bahr–Freie Bühne","1"
"Hermann Bahr","10815","Ernst Rowohlt Verlag","29756","3","Directed","Hermann Bahr–Ernst Rowohlt Verlag","1"
"Hermann Bahr","10815","Cosmopolis","29206","2","Directed","Hermann Bahr–Cosmopolis","2"
"Hermann Bahr","10815","Niederösterreichische Statthalterei","29253","2","Directed","Hermann Bahr–Niederösterreichische Statthalterei","2"
"Hermann Bahr","10815","Reichswehr","29304","2","Directed","Hermann Bahr–Reichswehr","2"
"Hermann Bahr","10815","Pester Lloyd","29306","2","Directed","Hermann Bahr–Pester Lloyd","1"
"Hermann Bahr","10815","Die Schaubühne / Die Weltbühne","29348","2","Directed","Hermann Bahr–Die Schaubühne / Die Weltbühne","1"
"Richard Beer-Hofmann","10863","Frankfurter Zeitung","29442","188","Directed","Richard Beer-Hofmann–Frankfurter Zeitung","2"
"Richard Beer-Hofmann","10863","Neue Freie Presse","29351","72","Directed","Richard Beer-Hofmann–Neue Freie Presse","3"
"Richard Beer-Hofmann","10863","Die Zeit. Wiener Wochenschrift","29209","67","Directed","Richard Beer-Hofmann–Die Zeit. Wiener Wochenschrift","8"
"Richard Beer-Hofmann","10863","Burgtheater","36247","62","Directed","Richard Beer-Hofmann–Burgtheater","2"
"Richard Beer-Hofmann","10863","Lessing-Theater","35053","25","Directed","Richard Beer-Hofmann–Lessing-Theater","1"
"Richard Beer-Hofmann","10863","Wiener Allgemeine Zeitung","29670","23","Directed","Richard Beer-Hofmann–Wiener Allgemeine Zeitung","2"
"Richard Beer-Hofmann","10863","Volkstheater","36430","20","Directed","Richard Beer-Hofmann–Volkstheater","1"
"Richard Beer-Hofmann","10863","Wiener Verlag","29636","14","Directed","Richard Beer-Hofmann–Wiener Verlag","1"
"Richard Beer-Hofmann","10863","Franz-Grillparzer-Preis","29677","14","Directed","Richard Beer-Hofmann–Franz-Grillparzer-Preis","1"
"Richard Beer-Hofmann","10863","Wiener Schachclub","43143","12","Directed","Richard Beer-Hofmann–Wiener Schachclub","9"
"Richard Beer-Hofmann","10863","Jung-Wiener Theater zum Lieben Augustin","143199","11","Directed","Richard Beer-Hofmann–Jung-Wiener Theater zum Lieben Augustin","2"
"Richard Beer-Hofmann","10863","Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","29212","9","Directed","Richard Beer-Hofmann–Neue Rundschau, Neue Deutsche Rundschau, Freie Bühne","1"
"Richard Beer-Hofmann","10863","»Freie Bühne« Verein für moderne Literatur","29781","9","Directed","Richard Beer-Hofmann–»Freie Bühne« Verein für moderne Literatur","2"
"Richard Beer-Hofmann","10863","Berliner Börsen-Courier","29406","7","Directed","Richard Beer-Hofmann–Berliner Börsen-Courier","2"
"Richard Beer-Hofmann","10863","Paul Zsolnay Verlag","36907","7","Directed","Richard Beer-Hofmann–Paul Zsolnay Verlag","1"
"Richard Beer-Hofmann","10863","Südbahnstrecke","41943","7","Directed","Richard Beer-Hofmann–Südbahnstrecke","1"
"Richard Beer-Hofmann","10863","Norddeutscher Lloyd","53340","5","Directed","Richard Beer-Hofmann–Norddeutscher Lloyd","1"
"Richard Beer-Hofmann","10863","?? [Wiener Club September 1901]","169320","5","Directed","Richard Beer-Hofmann–?? [Wiener Club September 1901]","3"
"Richard Beer-Hofmann","10863","Freund & Jeckel","39772","4","Directed","Richard Beer-Hofmann–Freund & Jeckel","2"
"Richard Beer-Hofmann","10863","Accademia di belle arti di Venezia","44602","4","Directed","Richard Beer-Hofmann–Accademia di belle arti di Venezia","3"
"Richard Beer-Hofmann","10863","J. Eisenstein & Co.","29461","3","Directed","Richard Beer-Hofmann–J. Eisenstein & Co.","2"
"Richard Beer-Hofmann","10863","Akademischer Verein für Kunst und Literatur","29767","3","Directed","Richard Beer-Hofmann–Akademischer Verein für Kunst und Literatur","1"
